"filename", "language", "C++", "Properties", "Markdown", "YAML", "Shell Script", "JSON with Comments", "XML", "CUDA C++", "Python", "Java", "jsonc", "comment", "blank", "total"
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/utils/varint.h", "C++", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 59, 403
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/utils/vertex_array.h", "C++", 401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 107, 536
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/utils/vertex_set.h", "C++", 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 85, 444
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/vertex_map/global_vertex_map.h", "C++", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 39, 319
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/vertex_map/local_vertex_map.h", "C++", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 40, 281
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/vertex_map/vertex_map_base.h", "C++", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 29, 148
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/worker/comm_spec.h", "C++", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 46, 244
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/worker/worker.h", "C++", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 50, 237
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/ldbc_driver/README.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/ldbc_driver/bin/sh/compile-benchmark.sh", "Shell Script", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 20, 11, 56
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/ldbc_driver/bin/sh/prepare-benchmark.sh", "Shell Script", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 19, 4, 35
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/ldbc_driver/bin/sh/run-benchmark.sh", "Shell Script", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 23, 10, 72
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/ldbc_driver/bin/sh/run-mpi.cpu.sh", "Shell Script", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 18, 4, 36
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/ldbc_driver/bin/sh/run-mpi.gpu.sh", "Shell Script", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 18, 4, 36
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/ldbc_driver/bin/sh/run-mpi.sh", "Shell Script", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 18, 4, 36
